category,brand,name,price,price_per_size,size,popularity_rank,out_of_item,item_url
"Beer, Craft",Lagunitas,"Lagunitas Little Sumpin' Sumpin' Ale, Cans",$13.99/ea,$3.11/pt,"6ct, 12fl oz ea",52,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4018240
"Beer, Craft",Torch & Crown,"Torch & Crown Tenement Pilsner, Cans",$16.99/ea,$4.25/pt,"4ct, 16fl oz ea",51,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4017201
"Beer, Craft",Ghostfish Brewing Company,"Ghostfish Brewing Company Vanishing Point Gluten-Free Pale Ale, Cans",$14.99/ea,$5.00/pt,"4ct, 12fl oz ea",50,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4017737
"Beer, Craft",Left Hand,"Left Hand Milk Stout Nitro, Glass Bottles",$18.99/ea,$4.22/pt,"6ct, 12fl oz ea",49,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4013487
"Beer, Craft",Dogfish Head,"Dogfish Head SeaQuench Ale, Cans",$13.99/ea,$3.11/pt,"6ct, 12fl oz ea",48,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4015156
"Beer, Craft",Fiddlehead Brewing,"Fiddlehead Brewing Hazy IPA, Cans",$16.99/ea,$4.25/pt,"4ct, 16fl oz ea",47,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4017903
"Beer, Craft",Sierra Nevada,"Sierra Nevada Atomic Torpedo Juicy West Coast DIPA, Can",$3.99/ea,$3.33/pt,19.2fl oz,46,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4018359
"Beer, Craft",Brooklyn Brewery,"Brooklyn Brewery Lager, Glass Bottles",$51.96/cs,$2.89/pt,"24ct, 12fl oz ea",45,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/spe_brooklyn_lgr_cs
"Beer, Craft",Radiant Pig,"Radiant Pig Save the Robots East Coast IPA, Cans",$17.99/ea,$4.50/pt,"4ct, 16fl oz ea",44,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4016062
"Beer, Craft",Sloop,"Sloop Juice Bomb IPA, Cans",$25.99/ea,$2.89/pt,"12ct, 12fl oz ea",43,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4018209
